Timestamp,Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Please leave any comment for previous your choices if possible. What makes you think unchosen rows are less realistic.,Have you heard of Generative adversarial network (GAN)?
8/10/2022 13:45:34,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,A,A,A,A,A,B,B,B,B,-,
8/10/2022 13:50:10,A,B,B,B,B,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,"It's almost the same in every row. However , some of picture in some row is look unrealistic ex. Some face look too smooth, or the background look a bit off from natural caturing pictur",
8/10/2022 13:50:36,A,A,B,A,B,B,B,B,B,A,B,B,B,A,B,B,A,B,B,A,A,B,A,B,Good luck with your thesis!!,
8/10/2022 14:44:13,A,B,B,B,B,A,A,B,A,A,B,A,B,B,B,A,A,B,B,A,B,A,A,B,Thier eye ,
8/10/2022 15:32:17,B,B,A,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,A,B,A,B,B,It look wasn’t realistic,No
8/10/2022 15:33:00,B,B,A,B,A,A,B,B,A,A,A,B,A,A,B,A,B,A,A,A,B,B,B,B,Some features on a face don’t look so correlated.,Yes
8/10/2022 15:39:43,B,B,B,A,A,A,B,B,A,B,B,A,A,A,A,A,B,B,A,A,A,A,B,B,facial expression,No
8/10/2022 15:45:49,A,A,B,A,B,A,A,B,A,A,B,A,A,B,B,B,B,A,B,A,A,B,A,A,in some pics their smile look so fake and it somehow looks a lil bit creepy.. just my personal feeling judging by what i saw,No
8/10/2022 15:48:16,B,A,A,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,A,B,A,"Facial alignment, blurs in the edges of faces",No
8/10/2022 15:50:32,A,B,B,B,A,A,A,B,B,A,B,B,A,A,A,A,A,B,B,A,A,B,B,B,Shape of their faces,Yes
8/10/2022 16:06:31,B,A,B,A,A,A,A,B,A,B,A,B,A,A,B,A,B,A,A,A,B,A,B,B,Physical appearance ,No
8/10/2022 16:07:00,A,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,A,A,A,A,A,B,A,A,"Weird smile, weird face shape.",Yes
8/10/2022 16:13:31,A,A,B,B,B,A,A,B,A,A,B,B,B,B,B,B,B,A,B,A,A,B,A,B,-,No
8/10/2022 16:20:56,A,B,B,A,B,A,A,A,A,A,B,B,B,A,A,A,B,B,A,A,B,B,A,A,It is obvious on some rows that is really unrealistic especially gender,Yes
8/10/2022 16:22:38,A,A,A,A,A,A,B,B,A,A,B,A,A,B,B,A,B,A,A,A,B,A,B,B,It’s like taking picture with application not bear camera. Have only 1 skin tone,No
8/10/2022 16:44:14,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,A,B,B,"Light reflection, angular faces",Yes
8/10/2022 16:52:30,A,B,B,A,B,A,B,B,A,A,B,A,A,A,A,A,B,A,A,A,B,B,B,B,I can detected fake smile and hairstyle,No
8/10/2022 17:27:55,B,A,B,A,B,A,A,A,B,A,B,B,A,B,A,B,B,A,A,A,B,A,A,A,-,Yes
8/10/2022 17:43:17,A,B,B,B,B,A,B,B,A,A,B,B,B,A,B,A,B,A,B,A,B,B,B,A,"face proportions
weird eyes/ears/glasses placement
the hair looks disconnected
some faces just look a little off, no idea how to explain ",Yes
8/10/2022 17:51:31,B,B,A,A,A,A,A,B,B,A,B,A,B,A,A,B,B,B,B,A,B,B,B,B,3,No
8/10/2022 18:12:59,A,B,A,A,B,B,A,A,A,B,B,A,B,A,B,A,B,A,A,B,A,B,B,A,1,No
8/10/2022 20:00:10,B,A,A,B,B,A,A,A,A,B,B,A,A,A,A,B,B,B,A,A,A,A,B,B,Uncommon facial features,No
8/10/2022 20:01:30,A,A,B,B,A,A,A,B,A,A,B,A,B,B,A,B,B,A,A,A,B,B,A,A,"backgrounds, whether looks too surreal or unrealistic proportion, face expression",No
8/10/2022 20:03:05,A,A,B,A,B,A,A,B,A,A,B,A,A,A,B,A,B,A,A,A,A,B,B,B,"Unchosen rows faces features seem out of place sometime. For example, the eyes shape doesnt really match with the portion of the face where it is located in.",No
